iter	RMSE
0	1710.359665
1	1701.268007
2	1692.257076
3	1683.434134
4	1674.591416
5	1665.530558
6	1656.508177
7	1647.541715
8	1638.745578
9	1630.511824
10	1622.484076
11	1614.507663
12	1606.253464
13	1598.540571
14	1590.728151
15	1582.818228
16	1574.936426
17	1567.245802
18	1559.669623
19	1552.081263
20	1544.676846
21	1537.749966
22	1530.897353
23	1524.171795
24	1517.237646
25	1510.377913
26	1503.612249
27	1497.277548
28	1490.580921
29	1484.422923
30	1478.177001
31	1471.826126
32	1465.717736
33	1459.484606
34	1453.502215
35	1447.375009
36	1441.365224
37	1435.91237
38	1430.67839
39	1425.111234
40	1419.388415
41	1413.878929
42	1408.669039
43	1403.672751
44	1398.412193
45	1393.391549
46	1388.476309
47	1383.529974
48	1378.608293
49	1373.765861
50	1369.071478
51	1364.304312
52	1359.598762
53	1354.985677
54	1350.553274
55	1346.052587
56	1341.642367
57	1337.323249
58	1333.160502
59	1329.013731
60	1325.597703
61	1321.896361
62	1317.961266
63	1314.019353
64	1310.13277
65	1306.456732
66	1302.923354
67	1299.391478
68	1295.745637
69	1292.111835
70	1288.544101
71	1284.98813
72	1281.550048
73	1278.094391
74	1274.786158
75	1271.728431
76	1268.515407
77	1265.295798
78	1262.641537
79	1259.581946
80	1256.788853
81	1254.095309
82	1251.235596
83	1248.541485
84	1245.889155
85	1243.175039
86	1240.576502
87	1237.964697
88	1235.797469
89	1233.0255
90	1230.452327
91	1227.879435
92	1225.539292
93	1223.016196
94	1220.581134
95	1218.60013
96	1216.248858
97	1213.929578
98	1211.574613
99	1209.216427
100	1206.974759
101	1205.019349
102	1202.844885
103	1200.669064
104	1198.680388
105	1196.710842
106	1194.662745
107	1192.873074
108	1190.998935
109	1189.215323
110	1187.387802
111	1185.631823
112	1183.816254
113	1182.107276
114	1180.530041
115	1178.831405
116	1177.079041
117	1175.545327
118	1173.987164
119	1172.487536
120	1170.969358
121	1169.398991
122	1167.865173
123	1166.370797
124	1164.995959
125	1163.738489
126	1162.332333
127	1160.88716
128	1159.512068
129	1158.071232
130	1156.990349
131	1155.574386
132	1154.217857
133	1153.020831
134	1151.996671
135	1150.864791
136	1149.758789
137	1148.452166
138	1147.349729
139	1146.350041
140	1145.163107
141	1144.044204
142	1142.947364
143	1141.745221
144	1140.653444
145	1139.805005
146	1138.839998
147	1137.890783
148	1136.825901
149	1135.748777
150	1134.808378
151	1133.89846
152	1132.944743
153	1131.979814
154	1131.05698
155	1130.297823
156	1129.46405
157	1128.673427
158	1127.827722
159	1126.969077
160	1126.234036
161	1125.483618
162	1124.621545
163	1123.917096
164	1123.101103
165	1122.303154
166	1121.518244
167	1120.704435
