iter	Passed	Remaining
0	116	116200
1	121	60501
2	127	42235
3	131	32633
4	135	26980
5	142	23647
6	147	20947
7	152	18899
8	160	17704
9	165	16381
10	170	15292
11	176	14546
12	181	13781
13	188	13254
14	192	12659
15	197	12153
16	203	11781
17	208	11375
18	213	11001
19	218	10713
20	223	10420
21	228	10157
22	233	9916
23	238	9700
24	243	9505
25	250	9375
26	255	9196
27	259	9025
28	266	8921
29	271	8770
30	276	8637
31	282	8542
32	287	8415
33	291	8292
34	298	8238
35	304	8146
36	309	8049
37	314	7973
38	318	7851
39	322	7745
40	328	7676
41	332	7589
42	338	7529
43	344	7489
44	349	7421
45	355	7362
46	360	7319
47	365	7252
48	370	7190
49	376	7156
50	382	7111
51	387	7056
52	393	7027
53	399	6990
54	406	6987
55	411	6930
56	416	6882
57	423	6882
58	429	6844
59	433	6794
60	439	6760
61	443	6714
62	448	6666
63	453	6638
64	458	6596
65	463	6554
66	469	6533
67	473	6491
68	478	6460
69	506	6724
70	511	6695
71	517	6671
72	522	6631
73	527	6600
74	534	6596
75	539	6553
76	543	6520
77	549	6491
78	554	6469
79	560	6443
80	565	6412
81	570	6386
82	579	6405
83	585	6380
84	589	6350
85	596	6335
86	600	6300
87	605	6270
88	609	6241
89	614	6212
90	619	6185
91	625	6168
92	629	6137
93	634	6111
94	639	6096
95	645	6078
96	650	6058
97	657	6048
98	662	6027
99	668	6018
100	674	6003
101	679	5984
102	684	5965
103	690	5946
104	694	5918
105	700	5907
106	704	5883
107	710	5866
108	734	6004
109	740	5988
110	745	5969
111	751	5958
112	756	5937
113	761	5921
114	770	5927
115	775	5909
116	781	5901
117	787	5883
118	792	5865
119	798	5855
120	803	5837
121	808	5816
122	814	5809
123	819	5788
124	824	5768
125	830	5759
126	834	5739
127	839	5720
128	845	5706
129	850	5688
130	853	5663
131	858	5647
132	863	5630
133	868	5611
134	873	5598
135	878	5582
136	886	5585
137	893	5579
138	901	5582
139	906	5566
140	911	5555
141	920	5559
142	925	5544
143	934	5553
144	940	5547
145	948	5548
146	971	5638
147	975	5618
148	983	5617
149	989	5609
150	997	5611
151	1004	5603
152	1014	5616
153	1056	5804
154	1073	5849
155	1081	5852
156	1090	5855
157	1098	5853
158	1116	5905
159	1124	5906
160	1130	5888
161	1138	5886
162	1143	5871
163	1151	5867
164	1156	5850
165	1160	5831
166	1167	5824
167	1175	5821
168	1183	5818
169	1189	5805
170	1198	5809
171	1224	5896
172	1232	5890
173	1237	5874
174	1242	5858
175	1249	5848
176	1254	5831
177	1260	5821
178	1265	5806
179	1271	5790
180	1280	5793
181	1285	5779
182	1291	5766
183	1297	5755
184	1302	5739
185	1309	5730
186	1315	5717
187	1320	5704
188	1326	5694
189	1331	5676
190	1336	5659
191	1344	5657
192	1350	5647
193	1359	5648
194	1365	5635
195	1371	5627
196	1376	5611
197	1381	5596
198	1389	5592
199	1394	5576
200	1398	5559
201	1406	5558
202	1414	5553
203	1421	5547
204	1427	5537
205	1435	5531
206	1440	5516
207	1468	5591
208	1474	5578
209	1483	5579
210	1488	5564
211	1494	5556
212	1501	5549
213	1507	5536
214	1514	5530
215	1519	5516
216	1526	5507
217	1533	5499
218	1538	5485
219	1545	5479
220	1550	5466
221	1556	5453
222	1563	5446
223	1569	5436
224	1577	5433
225	1582	5420
226	1633	5563
227	1757	5949
228	1764	5942
229	1774	5941
230	1786	5946
231	1797	5951
232	1812	5964
233	1821	5964
234	1827	5948
235	1838	5952
236	1844	5936
237	1851	5928
238	1857	5913
239	1863	5900
240	1869	5886
241	1873	5869
242	1880	5858
243	1885	5842
244	1890	5825
245	1897	5814
246	1902	5799
247	1909	5789
248	1915	5776
249	1920	5761
250	1927	5751
251	1956	5807
252	1962	5794
253	1967	5778
254	1974	5768
255	1979	5753
256	1984	5738
257	1992	5729
258	1997	5714
259	2002	5698
260	2008	5687
261	2013	5672
262	2018	5657
263	2024	5645
264	2029	5629
265	2038	5623
266	2042	5608
267	2048	5594
268	2054	5584
269	2059	5569
270	2065	5556
271	2071	5545
272	2077	5532
273	2084	5523
274	2089	5508
275	2094	5495
276	2103	5491
277	2108	5476
278	2117	5471
279	2122	5458
280	2127	5444
281	2133	5432
282	2139	5419
283	2148	5416
284	2155	5407
285	2164	5404
286	2211	5495
287	2232	5518
288	2237	5504
289	2248	5506
290	2254	5492
291	2263	5487
292	2269	5475
293	2278	5471
294	2284	5460
295	2293	5453
296	2298	5440
297	2308	5438
298	2313	5424
299	2322	5418
300	2327	5404
301	2343	5415
302	2348	5401
303	2356	5395
304	2361	5381
305	2371	5378
306	2376	5364
307	2384	5356
308	2389	5343
309	2395	5331
310	2403	5325
311	2408	5311
312	2440	5357
313	2450	5353
314	2455	5340
315	2464	5334
316	2469	5321
317	2475	5308
318	2486	5308
319	2496	5304
320	2501	5291
321	2507	5278
322	2514	5271
323	2520	5258
324	2529	5252
325	2534	5240
326	2544	5235
327	2551	5227
328	2559	5220
329	2564	5206
330	2573	5201
331	2578	5189
332	2584	5176
333	2592	5168
334	2597	5157
335	2605	5148
336	2610	5135
337	2615	5122
338	2625	5119
339	2631	5107
340	2637	5097
341	2644	5087
342	2674	5121
343	2682	5114
344	2687	5102
345	2695	5094
346	2702	5085
347	2709	5076
348	2715	5064
349	2725	5061
350	2735	5058
351	2745	5053
352	2752	5044
353	2760	5036
354	2764	5023
355	2769	5010
356	2775	4998
357	2780	4986
358	2788	4978
359	2793	4966
360	2798	4954
361	2804	4942
362	2813	4937
363	2819	4925
364	2827	4919
365	2832	4907
366	2838	4895
367	2846	4888
368	2850	4874
369	2861	4873
370	2866	4860
371	2875	4853
372	2902	4879
373	2911	4872
374	2916	4860
375	2925	4855
376	2933	4847
377	2940	4839
378	2945	4826
379	2952	4816
380	2957	4804
381	2962	4792
382	2970	4784
383	2974	4771
384	2980	4760
385	2991	4758
386	2995	4744
387	3003	4738
388	3009	4727
389	3017	4720
390	3022	4708
391	3031	4702
392	3038	4693
393	3051	4692
394	3056	4681
395	3064	4673
396	3068	4661
397	3074	4649
398	3082	4643
399	3090	4635
400	3098	4628
401	3105	4619
402	3114	4613
403	3139	4631
404	3151	4630
405	3156	4618
406	3161	4606
407	3166	4595
408	3177	4591
409	3198	4602
410	3209	4599
411	3215	4588
412	3225	4584
413	3230	4572
414	3241	4569
415	3247	4559
416	3256	4552
417	3261	4541
418	3269	4533
419	3274	4522
420	3286	4519
421	3291	4508
422	3299	4501
423	3303	4488
424	3309	4478
425	3318	4470
426	3326	4463
427	3334	4456
428	3340	4446
429	3350	4441
430	3380	4463
431	3385	4451
432	3390	4439
433	3400	4435
434	3405	4423
435	3413	4416
436	3420	4406
437	3429	4400
438	3435	4390
439	3444	4383
440	3450	4373
441	3462	4371
442	3469	4362
443	3476	4353
444	3482	4343
445	3491	4337
446	3498	4327
447	3506	4320
448	3514	4312
449	3523	4306
450	3529	4296
451	3539	4290
452	3545	4281
453	3553	4273
454	3558	4262
455	3568	4257
456	3578	4252
457	3592	4251
458	3618	4264
459	3624	4254
460	3632	4247
461	3638	4237
462	3648	4231
463	3653	4220
464	3662	4213
465	3669	4204
466	3677	4197
467	3682	4185
468	3687	4174
469	3694	4165
470	3699	4155
471	3709	4149
472	3715	4139
473	3723	4131
474	3728	4120
475	3734	4111
476	3740	4101
477	3745	4090
478	3752	4081
479	3761	4075
480	3768	4066
481	3773	4055
482	3780	4046
483	3787	4037
484	3791	4026
485	3798	4017
486	3803	4006
487	3809	3996
488	3816	3988
489	3822	3978
490	3853	3995
491	3861	3986
492	3870	3980
493	3880	3974
494	3885	3964
495	3894	3956
496	3896	3943
497	3901	3933
498	3913	3929
499	3918	3918
500	4030	4014
501	4078	4045
502	4082	4033
503	4089	4024
504	4100	4019
505	4107	4010
506	4136	4022
507	4144	4013
508	4149	4003
509	4155	3992
510	4163	3984
511	4168	3973
512	4175	3964
513	4180	3953
514	4186	3942
515	4195	3935
516	4198	3922
517	4208	3915
518	4214	3905
519	4220	3895
520	4225	3885
521	4230	3874
522	4238	3865
523	4242	3853
524	4246	3841
525	4253	3832
526	4258	3821
527	4262	3810
528	4270	3801
529	4274	3790
530	4278	3778
531	4286	3770
532	4290	3759
533	4296	3749
534	4309	3745
535	4318	3738
536	4322	3727
537	4326	3715
538	4334	3707
539	4339	3696
540	4343	3684
541	4350	3676
542	4357	3666
543	4365	3659
544	4370	3648
545	4374	3637
546	4382	3629
547	4387	3618
548	4391	3607
549	4398	3599
550	4403	3587
551	4411	3580
552	4416	3570
553	4421	3559
554	4429	3551
555	4432	3539
556	4436	3528
557	4446	3521
558	4450	3510
559	4458	3503
560	4463	3492
561	4468	3482
562	4477	3475
563	4481	3464
564	4489	3456
565	4493	3445
566	4498	3435
567	4523	3440
568	4528	3430
569	4533	3419
570	4540	3411
571	4544	3400
572	4548	3389
573	4553	3379
574	4559	3369
575	4567	3362
576	4571	3351
577	4575	3340
578	4583	3332
579	4587	3322
580	4592	3312
581	4597	3301
582	4601	3291
583	4609	3283
584	4614	3273
585	4619	3263
586	4627	3255
587	4632	3245
588	4641	3238
589	4646	3228
590	4651	3218
591	4659	3211
592	4663	3200
593	4670	3192
594	4676	3183
595	4681	3173
596	4692	3167
597	4696	3157
598	4707	3151
599	4711	3141
600	4722	3135
601	4727	3125
602	4768	3139
603	4775	3130
604	4784	3123
605	4790	3114
606	4797	3106
607	4803	3097
608	4809	3087
609	4818	3080
610	4823	3070
611	4832	3063
612	4837	3054
613	4848	3047
614	4853	3038
615	4866	3033
616	4871	3023
617	4883	3018
618	4962	3054
619	4992	3059
620	5015	3061
621	5027	3055
622	5039	3049
623	5049	3042
624	5068	3040
625	5078	3034
626	5094	3030
627	5107	3025
628	5114	3016
629	5125	3010
630	5143	3007
631	5147	2997
632	5155	2989
633	5160	2979
634	5169	2971
635	5173	2961
636	5178	2951
637	5186	2942
638	5190	2932
639	5195	2922
640	5203	2914
641	5209	2904
642	5217	2896
643	5239	2896
644	5247	2888
645	5252	2878
646	5256	2868
647	5265	2860
648	5270	2850
649	5279	2842
650	5283	2832
651	5287	2822
652	5296	2814
653	5299	2803
654	5303	2793
655	5311	2785
656	5314	2774
657	5318	2764
658	5327	2756
659	5332	2747
660	5338	2737
661	5344	2728
662	5349	2718
663	5357	2710
664	5361	2701
665	5367	2691
666	5374	2683
667	5379	2673
668	5389	2666
669	5395	2657
670	5404	2649
671	5409	2640
672	5417	2632
673	5422	2622
674	5427	2613
675	5436	2605
676	5441	2596
677	5449	2588
678	5454	2578
679	5482	2580
680	5488	2571
681	5497	2563
682	5502	2553
683	5507	2544
684	5517	2537
685	5522	2527
686	5533	2520
687	5543	2514
688	5550	2505
689	5560	2498
690	5565	2488
691	5573	2480
692	5580	2472
693	5589	2464
694	5595	2455
695	5600	2446
696	5609	2438
697	5614	2429
698	5639	2428
699	5647	2420
700	5659	2413
701	5663	2404
702	5671	2396
703	5676	2386
704	5684	2378
705	5689	2369
706	5723	2372
707	5733	2364
708	5738	2355
709	5743	2345
710	5752	2338
711	5757	2328
712	5766	2321
713	5771	2311
714	5784	2305
715	5789	2296
716	5797	2288
717	5801	2278
718	5807	2269
719	5815	2261
720	5819	2251
721	5828	2244
722	5833	2234
723	5845	2228
724	5850	2219
725	5859	2211
726	5863	2202
727	5868	2192
728	5878	2185
729	5883	2176
730	5893	2168
731	5898	2159
732	5909	2152
733	5914	2143
734	5923	2135
735	5928	2126
736	5933	2117
737	5941	2109
738	5975	2110
739	5980	2101
740	5990	2093
741	5994	2084
742	6005	2077
743	6010	2068
744	6019	2060
745	6026	2051
746	6034	2043
747	6039	2034
748	6049	2027
749	6055	2018
750	6069	2012
751	6075	2003
752	6083	1995
753	6092	1987
754	6098	1978
755	6104	1970
756	6113	1962
757	6120	1954
758	6126	1945
759	6138	1938
760	6143	1929
761	6151	1921
762	6156	1912
763	6168	1905
764	6172	1896
765	6206	1896
766	6217	1888
767	6221	1879
768	6226	1870
769	6234	1862
770	6238	1853
771	6243	1843
772	6247	1834
773	6252	1825
774	6265	1819
775	6271	1810
776	6276	1801
777	6280	1792
778	6289	1784
779	6294	1775
780	6304	1767
781	6308	1758
782	6313	1749
783	6323	1742
784	6328	1733
785	6337	1725
786	6341	1716
787	6346	1707
788	6353	1699
789	6357	1690
790	6369	1683
791	6377	1674
792	6387	1667
793	6392	1658
794	6403	1651
795	6426	1647
796	6434	1638
797	6441	1630
798	6453	1623
799	6458	1614
800	6465	1606
801	6469	1597
802	6473	1588
803	6484	1580
804	6494	1573
805	6497	1564
806	6505	1555
807	6510	1547
808	6514	1538
809	6522	1530
810	6528	1521
811	6540	1514
812	6545	1505
813	6554	1497
814	6559	1488
815	6572	1482
816	6583	1474
817	6590	1466
818	6600	1458
819	6605	1449
820	6609	1440
821	6616	1432
822	6620	1423
823	6625	1415
824	6633	1407
825	6637	1398
826	6671	1395
827	6681	1388
828	6686	1379
829	6698	1372
830	6705	1363
831	6709	1354
832	6721	1347
833	6726	1338
834	6731	1330
835	6740	1322
836	6745	1313
837	6754	1305
838	6760	1297
839	6770	1289
840	6777	1281
841	6785	1273
842	6790	1264
843	6799	1256
844	6804	1248
845	6808	1239
846	6817	1231
847	6822	1222
848	6835	1215
849	6840	1207
850	6847	1198
851	6852	1190
852	6862	1182
853	6866	1173
854	6870	1165
855	6903	1161
856	6911	1153
857	6915	1144
858	6925	1136
859	6929	1128
860	6933	1119
861	6942	1111
862	6947	1102
863	6952	1094
864	6957	1085
865	6965	1077
866	6970	1069
867	6978	1061
868	6983	1052
869	6993	1044
870	7000	1036
871	7005	1028
872	7012	1020
873	7016	1011
874	7028	1004
875	7033	995
876	7042	987
877	7048	979
878	7059	971
879	7064	963
880	7072	955
881	7077	946
882	7085	938
883	7090	930
884	7095	922
885	7126	916
886	7135	909
887	7141	900
888	7150	892
889	7155	884
890	7160	875
891	7170	868
892	7184	860
893	7189	852
894	7198	844
895	7205	836
896	7213	828
897	7218	819
898	7227	811
899	7232	803
900	7239	795
901	7247	787
902	7253	779
903	7265	771
904	7277	763
905	7282	755
906	7287	747
907	7292	738
908	7298	730
909	7306	722
910	7312	714
911	7326	706
912	7337	699
913	7370	693
914	7376	685
915	7395	678
916	7403	670
917	7421	662
918	7467	658
919	7479	650
920	7533	646
921	7540	637
922	7545	629
923	7552	621
924	7564	613
925	7598	607
926	7605	598
927	7613	590
928	7618	582
929	7623	573
930	7631	565
931	7636	557
932	7646	549
933	7648	540
934	7653	532
935	7662	523
936	7667	515
937	7679	507
938	7683	499
939	7692	490
940	7696	482
941	7702	474
942	7712	466
943	7717	457
944	7726	449
945	7738	441
946	7742	433
947	7747	424
948	7759	417
949	7765	408
950	7774	400
951	7778	392
952	7790	384
953	7794	375
954	7803	367
955	7826	360
956	7838	352
957	7843	343
958	7853	335
959	7861	327
960	7869	319
961	7874	311
962	7883	302
963	7889	294
964	7897	286
965	7906	278
966	7915	270
967	7920	261
968	7929	253
969	7934	245
970	7938	237
971	7947	228
972	7952	220
973	7956	212
974	7964	204
975	7968	195
976	7977	187
977	7983	179
978	7992	171
979	7997	163
980	8005	155
981	8010	146
982	8022	138
983	8027	130
984	8031	122
985	8039	114
986	8069	106
987	8073	98
988	8078	89
989	8088	81
990	8093	73
991	8101	65
992	8105	57
993	8111	48
994	8118	40
995	8123	32
996	8132	24
997	8139	16
998	8149	8
999	8184	0
